k,time,rounds,metric,rounds_ind
1,0.13215875625610352,1.0,0.0,514.0
2,0.33629894256591797,2.0,26.488066902524885,1028.0
3,0.5494940280914307,3.0,52.868811103542214,1542.0
4,0.7759857177734375,4.0,77.81652388069594,2056.0
5,1.001619577407837,5.0,82.2700458050839,2570.0
6,1.25006103515625,6.0,83.46793146982994,3084.0
7,1.4946057796478271,7.0,97.40578199819726,3598.0
8,1.733846664428711,8.0,174.68580601551147,4112.0
9,1.988800287246704,9.0,177.8305516251656,4626.0
10,2.237423896789551,10.0,225.58679260777,5140.0
11,2.5083346366882324,11.0,233.2716537073148,5654.0
12,2.776472806930542,12.0,277.09155400580227,6168.0
13,3.1054961681365967,13.0,279.40832758617626,6682.0
14,3.43607234954834,14.0,279.495740859627,7196.0
15,3.7449584007263184,15.0,281.6683500827406,7710.0
16,4.062864303588867,16.0,297.53304923925117,8224.0
17,4.435900926589966,17.0,298.69651703129233,8738.0
18,4.760183572769165,18.0,353.4530268173203,9252.0
19,5.090599298477173,19.0,358.507728490259,9766.0
20,5.4575488567352295,20.0,360.4539028050588,10280.0
21,5.856857538223267,21.0,361.3349172635609,10794.0
22,6.183653831481934,22.0,372.3310463908745,11308.0
23,6.587293863296509,23.0,380.26923561471114,11822.0
24,6.985143661499023,24.0,383.11687106401996,12336.0
25,7.400209188461304,25.0,385.07219611809717,12850.0
26,7.807744264602661,26.0,387.1803620369584,13364.0
27,8.19920563697815,27.0,390.6965829634979,13878.0
28,8.667473316192627,28.0,403.20712558136984,14392.0
29,9.1455078125,29.0,426.3047736786236,14906.0
30,9.543506622314453,30.0,426.2545329712837,15420.0
31,9.967266321182251,31.0,443.37189334801434,15934.0
32,10.365405321121216,32.0,459.5816811581071,16448.0
33,10.883011102676392,33.0,460.230032505341,16962.0
34,11.391703128814697,34.0,461.2602295930963,17476.0
35,11.84107780456543,35.0,464.30506832118544,17990.0
36,12.3079195022583,36.0,473.1608114144759,18504.0
37,12.79834508895874,37.0,481.61870951045154,19018.0
38,13.198061227798462,38.0,499.93572758302724,19532.0
39,13.70170259475708,39.0,504.6726226343369,20046.0
40,14.171860456466675,40.0,506.1761068177487,20560.0
41,14.706464767456055,41.0,512.864247150837,21074.0
42,15.121359586715698,42.0,518.545985314869,21588.0
43,15.601108074188232,43.0,518.5290175671049,22102.0
44,16.09682035446167,44.0,520.7257838334147,22616.0
45,16.542773485183716,45.0,521.8775898730373,23130.0
46,16.978168487548828,46.0,522.8238441933927,23644.0
47,17.294135808944702,47.0,522.8063141336428,24158.0
48,17.777454614639282,48.0,522.83013275041,24672.0
49,18.20872187614441,49.0,522.8753096515179,25186.0
50,18.648075103759766,50.0,524.8119943658338,25700.0
51,18.993293285369873,51.0,527.1912276556569,26214.0
52,19.4545636177063,52.0,527.1832457446563,26728.0
53,19.868006706237793,53.0,527.9501987766012,27242.0
54,20.32436990737915,54.0,527.9272058126319,27756.0
55,20.80851721763611,55.0,528.0520209219525,28270.0
56,21.335131406784058,56.0,528.1005672697067,28784.0
57,21.76438021659851,57.0,528.3677740259844,29298.0
58,22.213329553604126,58.0,528.3624409139122,29812.0
59,22.74027180671692,59.0,529.1174426864363,30326.0
60,23.2091064453125,60.0,531.6135072482466,30840.0
61,23.701300144195557,61.0,533.291737037036,31354.0
62,24.175938844680786,62.0,535.60359630952,31868.0
63,24.63294792175293,63.0,535.5588780092335,32382.0
64,25.12054467201233,64.0,538.6894284622005,32896.0
65,25.591882944107056,65.0,538.6877885879228,33410.0
66,26.051846265792847,66.0,538.8887039003355,33924.0
67,26.528018951416016,67.0,539.0009521863257,34438.0
68,26.98439383506775,68.0,539.3856730931335,34952.0
69,27.47862720489502,69.0,539.5739526131794,35466.0
70,28.030306577682495,70.0,539.6674600339131,35980.0
71,28.554123878479004,71.0,540.0203135839078,36494.0
72,29.02879524230957,72.0,540.3073021929395,37008.0
73,29.493939876556396,73.0,540.9270642279826,37522.0
74,29.96011519432068,74.0,542.4547803513573,38036.0
75,30.44213604927063,75.0,542.4672495312511,38550.0
76,30.937214851379395,76.0,542.4611835599669,39064.0
77,31.480808973312378,77.0,542.5356910654898,39578.0
78,32.025317907333374,78.0,543.3645407106361,40092.0
79,32.64235520362854,79.0,543.7185318453278,40606.0
80,33.08610963821411,80.0,543.8797061063774,41120.0
81,33.52066135406494,81.0,544.0447425200969,41634.0
82,34.02283716201782,82.0,544.1305083826013,42148.0
83,34.487372159957886,83.0,544.1390844168097,42662.0
84,34.98809790611267,84.0,544.8439633338434,43176.0
85,35.56779098510742,85.0,545.0828982776318,43690.0
86,36.08524537086487,86.0,545.209305513601,44204.0
87,36.55320596694946,87.0,545.9625029782601,44718.0
88,37.03650140762329,88.0,546.1079454093016,45232.0
89,37.47406601905823,89.0,546.1688924175555,45746.0
