k,time,rounds,rounds_ind,metric
1,8.727571249008179,514.0,1.0,509.5452825957192
1000,16.802971839904785,514.0,1000.0,555.1898625402681
2000,25.362317085266113,514.0,2000.0,555.1963963233321
3000,33.29781770706177,514.0,3000.0,555.1988439176122
4000,40.279295206069946,514.0,4000.0,555.20036895012
5000,49.38300156593323,514.0,5000.0,555.2013545472715
6000,55.36561417579651,514.0,6000.0,555.2019394738205
7000,62.23410224914551,514.0,7000.0,555.2024236914523
8000,69.20638751983643,514.0,8000.0,555.2028373792356
9000,75.53726148605347,514.0,9000.0,555.2031309372057
10000,82.82859349250793,514.0,10000.0,555.2034056971868
11000,88.1296935081482,514.0,11000.0,555.2036172397599
12000,95.070556640625,514.0,12000.0,555.2037998936448
13000,102.88504719734192,514.0,13000.0,555.2039596472991
14000,105.58197569847107,514.0,14000.0,555.204078672347
15000,112.14267301559448,514.0,15000.0,555.2041119128272
16000,117.25551795959473,514.0,16000.0,555.2041119128272
17000,122.91504144668579,514.0,17000.0,555.2041119128272
18000,128.03948187828064,514.0,18000.0,555.2041119128272
19000,135.45119047164917,514.0,19000.0,555.2041119128272
20000,137.94357752799988,514.0,20000.0,555.2041119128272
