k,time_mn,rounds_mn,metric_mn,time_sd,rounds_sd,metric_sd,rounds_ind_mn,rounds_ind_sd
1,1.3044772624969483,2.0,0.0,0.046062601056809406,0.0,0.0,20532.0,0.0
1000,275.0914463758469,49.4,548.8496109026139,192.44569814849197,7.4993333037010705,7.910928937698732,378291.7,233779.32615398223
2000,529.9268980026245,101.8,551.6323142833764,321.34536085251705,0.6,5.523238978999839,747319.7,435662.5077272658
3000,495.91410331726075,144.1,546.6472720020557,552.7912887696112,22.371633825002586,7.65510833607297,649192.7,682092.0686285759
4000,959.1129365205765,201.7,550.4266842263451,748.7377272591925,0.45825756949558405,6.457918812411154,1181942.9,889718.1764812327
5000,1699.1280348300934,251.9,552.5365198333573,826.7785111700856,0.8306623862918076,5.4885160375407365,1872996.8,885316.8332791148
6000,1820.050707101822,309.3,551.4655880211214,1163.5747689314526,22.904366395951666,5.923236284096088,1912968.6,1176220.4466646716
7000,1889.3945360422135,334.4,550.433526364143,1513.7840219297373,52.46941966517259,6.548229571303776,1862502.1,1436924.1177374294
8000,2476.672499918938,401.6,551.4424888060681,1596.559974442781,0.48989794855663565,5.79312422862685,2376754.1,1506551.6168991653
9000,2064.345656657219,451.4,548.8238632685052,2010.81544185664,0.6633249580710799,6.779316904299075,1875538.9,1780910.0186728947
10000,2856.8653281211855,501.3,550.3678794177304,2296.209675754214,0.45825756949558405,6.057556014038478,2395145.0,1888344.7710722743
11000,6346.8507060289385,551.4,553.8766340618643,2103.475639292554,0.48989794855663565,3.969467451613778,3775563.6,1231059.9035712436
12000,8471.10824058056,601.4,554.6785169116406,2810.385786041024,0.48989794855663565,1.5661822986525953,3979233.6,1292127.3640073722
13000,11777.135032057762,651.2,555.201409963245,281.69724168181335,0.6000000000000001,0.00014150904137818072,4608208.7,8997.082605489404
0,0.0,0.0,0.0,0.0,0.0,0.0,,
0,0.0,0.0,0.0,0.0,0.0,0.0,,
0,0.0,0.0,0.0,0.0,0.0,0.0,,
0,0.0,0.0,0.0,0.0,0.0,0.0,,
0,0.0,0.0,0.0,0.0,0.0,0.0,,
0,0.0,0.0,0.0,0.0,0.0,0.0,,
0,0.0,0.0,0.0,0.0,0.0,0.0,,
