k,time,rounds,rounds_ind,metric
1,9.122591018676758,514.0,1.0,509.5452825957192
1000,17.78695845603943,514.0,1000.0,555.1898625402681
2000,26.46725296974182,514.0,2000.0,555.1963963233321
3000,35.295387983322144,514.0,3000.0,555.1988439176122
4000,43.0730299949646,514.0,4000.0,555.20036895012
5000,51.14452528953552,514.0,5000.0,555.2013545472715
6000,59.06587028503418,514.0,6000.0,555.2019394738205
7000,66.29958701133728,514.0,7000.0,555.2024236914523
8000,74.37629532814026,514.0,8000.0,555.2028373792356
9000,81.08719873428345,514.0,9000.0,555.2031309372057
10000,88.33087921142578,514.0,10000.0,555.2034056971868
11000,94.60553789138794,514.0,11000.0,555.2036172397599
12000,101.45283937454224,514.0,12000.0,555.2037998936448
13000,108.0134654045105,514.0,13000.0,555.2039596472991
14000,113.56109428405762,514.0,14000.0,555.204078672347
15000,120.42015433311462,514.0,15000.0,555.2041119128272
16000,126.05827760696411,514.0,16000.0,555.2041119128272
17000,132.92272353172302,514.0,17000.0,555.2041119128272
18000,138.04028916358948,514.0,18000.0,555.2041119128272
19000,145.5567328929901,514.0,19000.0,555.2041119128272
20000,152.49085450172424,514.0,20000.0,555.2041119128272
